date,home_team,away_team
2026-03-21,Stockport County,Luton Town
2026-03-21,Blackpool,Cardiff City
2026-03-21,Peterborough United,AFC Wimbledon
2026-03-21,Doncaster Rovers,Barnsley
2026-03-21,Bradford City,Burton Albion
2026-03-21,Wycombe Wanderers,Leyton Orient
2026-03-21,Rotherham United,Lincoln City
2026-03-21,Northampton Town,Mansfield Town
2026-03-21,Huddersfield Town,Plymouth Argyle
2026-03-21,Bolton Wanderers,Port Vale
2026-03-21,Reading,Stevenage
2026-03-21,Exeter City,Wigan Athletic
2026-03-28,Cardiff City,Bolton Wanderers
2026-03-28,Lincoln City,Bradford City
2026-03-28,Barnsley,Stockport County
2026-03-28,Luton Town,Wycombe Wanderers
2026-03-28,Leyton Orient,Reading
2026-03-28,Stevenage,Huddersfield Town
2026-03-28,Plymouth Argyle,Rotherham United
2026-03-28,Port Vale,Doncaster Rovers
2026-03-28,Mansfield Town,Exeter City
2026-03-28,AFC Wimbledon,Northampton Town
2026-03-28,Wigan Athletic,Peterborough United
2026-03-28,Burton Albion,Blackpool
2026-04-04,Bolton Wanderers,Lincoln City
2026-04-04,Cardiff City,Stockport County
2026-04-04,Bradford City,Barnsley
2026-04-04,Wycombe Wanderers,Stevenage
2026-04-04,Reading,Luton Town
2026-04-04,Huddersfield Town,Leyton Orient
2026-04-04,Rotherham United,Plymouth Argyle
2026-04-04,Exeter City,Mansfield Town
2026-04-04,Doncaster Rovers,AFC Wimbledon
2026-04-04,Blackpool,Burton Albion
2026-04-04,Northampton Town,Wigan Athletic
2026-04-04,Peterborough United,Port Vale
2026-04-11,Lincoln City,Cardiff City
2026-04-11,Stockport County,Bolton Wanderers
2026-04-11,Barnsley,Wycombe Wanderers
2026-04-11,Stevenage,Bradford City
2026-04-11,Luton Town,Huddersfield Town
2026-04-11,Leyton Orient,Rotherham United
2026-04-11,Plymouth Argyle,Exeter City
2026-04-11,Mansfield Town,Doncaster Rovers
2026-04-11,AFC Wimbledon,Blackpool
2026-04-11,Port Vale,Northampton Town
2026-04-11,Wigan Athletic,Reading
2026-04-11,Burton Albion,Peterborough United
2026-04-18,Cardiff City,Barnsley
2026-04-18,Lincoln City,Wycombe Wanderers
2026-04-18,Bolton Wanderers,Bradford City
2026-04-18,Stockport County,Stevenage
2026-04-18,Reading,Rotherham United
2026-04-18,Huddersfield Town,Exeter City
2026-04-18,Luton Town,Leyton Orient
2026-04-18,Doncaster Rovers,Plymouth Argyle
2026-04-18,Blackpool,Mansfield Town
2026-04-18,Peterborough United,Wigan Athletic
2026-04-18,Northampton Town,Burton Albion
2026-04-18,AFC Wimbledon,Port Vale
2026-04-25,Barnsley,Lincoln City
2026-04-25,Wycombe Wanderers,Cardiff City
2026-04-25,Bradford City,Stockport County
2026-04-25,Stevenage,Bolton Wanderers
2026-04-25,Rotherham United,Huddersfield Town
2026-04-25,Leyton Orient,Doncaster Rovers
2026-04-25,Exeter City,Reading
2026-04-25,Plymouth Argyle,Luton Town
2026-04-25,Mansfield Town,Blackpool
2026-04-25,Port Vale,Peterborough United
2026-04-25,Wigan Athletic,Northampton Town
2026-04-25,Burton Albion,AFC Wimbledon
2026-05-02,Lincoln City,Stevenage
2026-05-02,Cardiff City,Bradford City
2026-05-02,Bolton Wanderers,Luton Town
2026-05-02,Stockport County,Wycombe Wanderers
2026-05-02,Barnsley,Reading
2026-05-02,Huddersfield Town,Doncaster Rovers
2026-05-02,Rotherham United,Exeter City
2026-05-02,Leyton Orient,Plymouth Argyle
2026-05-02,Mansfield Town,Wigan Athletic
2026-05-02,Blackpool,Northampton Town
2026-05-02,Peterborough United,Burton Albion
2026-05-02,AFC Wimbledon,Port Vale
2026-05-02,Lincoln City,Blackpool
2026-05-02,Cardiff City,Peterborough United
2026-05-02,Bolton Wanderers,Wigan Athletic
2026-05-02,Stockport County,Northampton Town
2026-05-02,Barnsley,Port Vale
2026-05-02,Bradford City,Plymouth Argyle
2026-05-02,Wycombe Wanderers,Mansfield Town
2026-05-02,Stevenage,Exeter City
2026-05-02,Huddersfield Town,Burton Albion
2026-05-02,Reading,AFC Wimbledon
2026-05-02,Rotherham United,Doncaster Rovers
2026-05-02,Luton Town,Leyton Orient
