team,played,won,drawn,lost,gf,ga,gd,points
Lincoln City,37,24,8,5,65,28,37,80
Cardiff City,37,23,7,7,73,42,31,76
Bolton Wanderers,37,17,14,6,55,40,15,65
Bradford City,37,18,10,9,52,40,12,64
Stockport County,37,17,11,9,54,42,12,62
Reading,37,16,10,11,48,38,10,58
Wycombe Wanderers,37,15,10,12,50,44,6,55
Stevenage,37,14,11,12,44,40,4,53
Huddersfield Town,37,14,10,13,47,45,2,52
Luton Town,37,13,11,13,45,44,1,50
Barnsley,37,13,10,14,46,48,-2,49
Exeter City,37,12,11,14,43,46,-3,47
AFC Wimbledon,37,12,10,15,40,47,-7,46
Leyton Orient,37,11,11,15,44,50,-6,44
Rotherham United,37,11,10,16,39,48,-9,43
Mansfield Town,37,11,9,17,38,49,-11,42
Doncaster Rovers,37,10,10,17,40,52,-12,40
Burton Albion,37,10,9,18,36,51,-15,39
Northampton Town,37,9,10,18,35,52,-17,37
Wigan Athletic,37,9,8,20,34,55,-21,35
Plymouth Argyle,37,8,10,19,32,54,-22,34
Peterborough United,37,8,9,20,33,56,-23,33
Blackpool,37,7,9,21,30,58,-28,30
Port Vale,37,6,8,23,27,65,-38,26
